泰来县前程沙场有限公司,http://www.zk71.com/qiye/11379473.html,李忠凤,700万(元),2019/12/14,地址：黑龙江省齐齐哈尔市泰来县和平镇联合村,泰来县前程沙场有限公司成立于2019年12月14日 至今要已有2年，位于黑龙江省齐齐哈尔市泰来县和平镇联合村，法定代表人为李忠凤，经营范围为：土砂石开采、销售。
阜新市合顺矿业有限公司,http://www.zk71.com/qiye/8135872.html,赵庆元,1 500万(元),2014/6/11,地址：阜新市清河门区乌龙坝镇吴家窑村,阜新市合顺矿业有限公司成立于2014年6月11日 至今要已有7年，位于阜新市清河门区乌龙坝镇吴家窑村，法定代表人为赵庆元，经营范围为：煤炭开采。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
信阳市汉淮矿业有限公司,http://www.zk71.com/qiye/3561030.html,虎大勇,50 000万(元),2020/6/12,地址：河南省信阳市罗山县石材专业园区管理委员会一楼,信阳市汉淮矿业有限公司成立于2020年6月12日 至今要已有1年，位于河南省信阳市罗山县石材专业园区管理委员会一楼，法定代表人为虎大勇，经营范围为：饰面用花岗岩露天开采、加工、销售、废石废渣的综合加工利用；建筑用石加工；砂浆、混泥土构件生产；石材开采；矿产品加工、销售及研发（不含有色金属矿的采选）；固体废物治理；土壤污染治理与修复服务；土地整治服务。
海东地区通力机械砂石开挖有限公司,http://www.zk71.com/qiye/5040088.html,李汉业,60万(元),2001/3/19,地址：-,海东地区通力机械砂石开挖有限公司成立于2001年3月19日，法定代表人为李汉业，经营范围包括：砂石、土方开挖、加工、砂石构件、运输、零售、网围栏生产、养殖业、种植业。
柞水县宏祥矿业有限责任公司,http://www.zk71.com/qiye/10891285.html,马世荣,500万(元),2012/3/29,地址：陕西省商洛市柞水县桃园小区南区二排四号,柞水县宏祥矿业有限责任公司创建于2012年3月29日，坐落于陕西省商洛市柞水县桃园小区南区二排四号，法人代表为马世荣，经营范围包括：矿产品购销（以上经营范围凡涉及法律、行政法规、国务院决定规定应当报经有关部门批准的项目凭许可证书在有效期限内经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动）
铜梁县旧县镇刘家湾煤矿,http://www.zk71.com/qiye/1538609.html,刘定玉,7.8万(元),1993/12/27,地址：-,铜梁县旧县镇刘家湾煤矿成立于1993年12月27日 至今要已有28年，法定代表人为刘定玉，经营范围为：（无）原 煤 开 采。
黑龙江宝通石英产品开发有限公司,http://www.zk71.com/qiye/11346260.html,张建斌,6 200万(元),2005/12/27,地址：-,黑龙江宝通石英产品开发有限公司成立于2005年12月27日，法定代表人为张建斌，经营范围包括：石英产品加工及销售。
乌兰察布市宝玉矿业有限公司,http://www.zk71.com/qiye/222405.html,张宝玉,100万(元),2008/4/21,地址：内蒙古自治区乌兰察布市集宁区公园大街昱丰公寓3号楼27号,乌兰察布市宝玉矿业有限公司注册于内蒙古自治区乌兰察布市集宁区公园大街昱丰公寓3号楼27号，成立时间2008年4月21日，法人代表张宝玉，主要经营包括：玄武岩开采、销售
四川达竹煤电(集团)有限责任公司白腊坪煤矿,http://www.zk71.com/qiye/2723865.html,彭必林,-,2005/1/18,地址：达州市达川区渡市镇白腊坪村,四川达竹煤电(集团)有限责任公司白腊坪煤矿创建于2005年1月18日，坐落于达州市达川区渡市镇白腊坪村，法人代表为彭必林，经营范围包括：煤炭开采、销售；机电产品及配件销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
阳江市金兴矿业投资有限公司,http://www.zk71.com/qiye/10713065.html,林德松,600万(元),2019/7/18,地址：阳江市江城区新江北路1133号锦绣江南19幢3号商铺,阳江市金兴矿业投资有限公司成立于2019年7月18日，注册地位于阳江市江城区新江北路1133号锦绣江南19幢3号商铺，法定代表人为林德松，经营范围包括：投资矿业；露天建筑用花岗岩开采、加工、销售（开采、加工另设分支机构经营）；销售：建筑用花岗岩碎石、机制砂（不含河砂）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
新疆山义矿业有限公司,http://www.zk71.com/qiye/6661724.html,乌鹏飞,300万(元),2005/2/24,地址：新疆哈密地区哈密市铁路18街11栋5-2,新疆山义矿业有限公司注册于新疆哈密地区哈密市铁路18街11栋5-2，成立时间2005年2月24日，法人代表乌鹏飞，主要经营包括：许可经营项目：矿石的开采、加工、生产与销售。一般经营项目：无。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
陕西尚彬业石油化工有限公司,http://www.zk71.com/qiye/11214974.html,宋珑,500万(元),2018/12/24,地址：陕西省西咸新区沣东新城世纪大道奥林匹克花园A8幢1单元5层151号,陕西尚彬业石油化工有限公司创建于2018年12月24日，坐落于陕西省西咸新区沣东新城世纪大道奥林匹克花园A8幢1单元5层151号，法人代表为宋珑，经营范围包括：石油地质勘查服务;化工产品、矿产品、润滑油、车用清洗剂、环境保护专用设备、橡胶制品、劳保用品、环保产品的销售（以上不含易制毒、危险、监控化学品）；商务信息咨询。
本溪市明山区卧龙铁选厂,http://www.zk71.com/qiye/7859532.html,王维民,590万(元),1994/9/12,地址：-,本溪市明山区卧龙铁选厂，成立时间1994年9月12日，法人代表王维民，主要经营包括：铁精矿粉球团球团
鸡西天盛非金属矿业有限公司硅线石矿,http://www.zk71.com/qiye/11272031.html,刘庆德,-,2009/9/17,地址：-,鸡西天盛非金属矿业有限公司硅线石矿成立于2009年9月17日 至今要已有12年，法定代表人为刘庆德，经营范围为：矽线石露天开采（有效期至2020年9月27日）。
石门县永盛石膏有限公司,http://www.zk71.com/qiye/5383142.html,丰纪云,100万(元),2005/1/25,地址：湖南省常德市石门县蒙泉镇天子岗村五组,石门县永盛石膏有限公司创建于2005年1月25日，坐落于湖南省常德市石门县蒙泉镇天子岗村五组，法人代表为丰纪云，经营范围包括：石膏的开采、加工、购销。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
吉林石油天然气开发有限责任公司宁江区分公司,http://www.zk71.com/qiye/11888648.html,浦海峰,-,2008/7/23,地址：-,吉林石油天然气开发有限责任公司宁江区分公司创建于2008年7月23日，法人代表为浦海峰，经营范围包括：石油、天然气开发（按合同划定区块经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动）
张家界宏维建材有限公司,http://www.zk71.com/qiye/4350536.html,李维,500万(元),2019/6/11,地址：湖南省张家界市永定区后坪镇广岩嘴村十一组5号,张家界宏维建材有限公司注册于湖南省张家界市永定区后坪镇广岩嘴村十一组5号，成立时间2019年6月11日，法人代表李维，主要经营包括：建筑装饰用石开采；水泥、砂石、五金建材销售；货物道路运输服务；土石方工程；道路工程建筑。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
内蒙古科曜能源有限公司,http://www.zk71.com/qiye/274024.html,生缓程,1 000万(元),2021/2/24,地址：内蒙古自治区乌海市海勃湾区前进农场二街坊祥和家园C2号楼-商铺-03,内蒙古科曜能源有限公司注册于内蒙古自治区乌海市海勃湾区前进农场二街坊祥和家园C2号楼-商铺-03，成立时间2021年2月24日，法人代表生缓程，主要经营包括：销售：煤炭、焦炭、兰炭、煤矸石、高岭土、石灰石、腐殖酸、脱硫剂、沙石料、水泥、机器设备、化肥、化工原料及产品(不含危险品）、工业盐、纸塑复合袋、吨袋、塑料编织袋、缝包线；批发：柴油（闭杯闪点大于60度）；装卸搬运；纳米材料、包装材料新技术的研发、销售。
内蒙古蒙东畅彤矿业有限责任公司,http://www.zk71.com/qiye/730091.html,田华明,10 985万(元),2005/7/28,地址：内蒙古自治区锡林郭勒盟多伦县蔡木山乡光明村,内蒙古蒙东畅彤矿业有限责任公司成立于2005年7月28日，注册地位于内蒙古自治区锡林郭勒盟多伦县蔡木山乡光明村，法定代表人为田华明，经营范围包括：煤炭开采，加工和销售。(《安全生产许可证》有效期至2022年7月9日；《采矿许可证》有效期至2021年09月02日；《煤炭生产许可证》有效期自2010年7月26日至2051年7月31日。)；机械设备制造、安装与检修；煤机配件、水泥机械设备配件制造；电力开关、电机、变压器工程机械设备检修；电力输煤、粉煤系统的制造与检修；住宿、餐饮服务、商务会议服务、洗涤服务、绿化、保洁及后勤服务。
唐山市金坤矿业集团有限公司安平庄铁矿,http://www.zk71.com/qiye/8313206.html,邵国勇,-,2009/10/27,地址：遵化市兴旺寨乡安平庄村,唐山市金坤矿业集团有限公司安平庄铁矿成立于2009年10月27日，注册地位于遵化市兴旺寨乡安平庄村，法定代表人为邵国勇，经营范围包括：铁矿石 开采（取得安全生产许可证后方可经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动）
长春中材东龙建材有限公司,http://www.zk71.com/qiye/12023790.html,李少杰,4 500万(元),2014/4/25,地址：长春市双阳区太平镇将军村三社,长春中材东龙建材有限公司成立于2014年4月25日 至今要已有7年，位于长春市双阳区太平镇将军村三社，法定代表人为李少杰，经营范围为：石灰岩开采、加工、销售；砂石、白灰、水泥、商品混凝土、建材产品销售#（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
宣城市宣州区狸桥镇云山村第一开采队,http://www.zk71.com/qiye/5263584.html,张儒和,3万(元),2002/9/16,地址：-,宣城市宣州区狸桥镇云山村第一开采队创建于2002年9月16日，法人代表为张儒和，经营范围包括：露天开采石灰石（凭许可证经营）。
宣威市龙场镇兄弟实业有限公司大箐坡煤矿,http://www.zk71.com/qiye/4508046.html,晏祥锦,-,2013/7/26,地址：云南省曲靖市宣威市龙场镇龙林村,宣威市龙场镇兄弟实业有限公司大箐坡煤矿注册于云南省曲靖市宣威市龙场镇龙林村，成立时间2013年7月26日，法人代表晏祥锦，主要经营包括：原煤开采销售。
大化航鑫矿业有限公司,http://www.zk71.com/qiye/6231328.html,梁剑峰,200万(元),2021/1/19,地址：广西壮族自治区河池市大化瑶族自治县大化镇兴化路465号,大化航鑫矿业有限公司创建于2021年1月19日，坐落于广西壮族自治区河池市大化瑶族自治县大化镇兴化路465号，法人代表为梁剑峰，经营范围包括：许可项目：矿产资源（非煤矿山）开采；水路普通货物运输（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：选矿；矿物洗选加工；化工产品生产（不含许可类化工产品）；化工产品销售（不含许可类化工产品）；信息咨询服务（不含许可类信息咨询服务）；成品油批发（不含危险化学品）；润滑油销售；建筑材料销售；船舶制造（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
邦锐(重庆)钻探工程有限公司,http://www.zk71.com/qiye/976047.html,吴以明,300万(元),2021/3/22,地址：重庆市南岸区弹子石街道腾龙大道25号14幢22-1号,邦锐(重庆)钻探工程有限公司创建于2021年3月22日，坐落于重庆市南岸区弹子石街道腾龙大道25号14幢22-1号，法人代表为吴以明，经营范围包括：许可项目：各类工程建设活动；建筑劳务分包；建设工程设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。 一般项目：建筑工程机械与设备租赁；建筑材料销售；机械设备租赁；工程技术服务（规划管理、勘察、设计、监理除外）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。
鸡东县润兴煤炭有限责任公司兴顺煤矿,http://www.zk71.com/qiye/11272137.html,吴忠,-,2008/2/2,地址：-,鸡东县润兴煤炭有限责任公司兴顺煤矿创建于2008年2月2日，法人代表为吴忠，经营范围包括：煤炭开采（按许可证规定的范围生产经营）。（采矿许可证有效期至2018年2月3日，煤炭生产许可证有效期至2015年3月25日）。
阿拉善盟远达煤炭有限责任公司,http://www.zk71.com/qiye/761644.html,王远智,-,-,地址：-,阿拉善盟远达煤炭有限责任公司，法人代表王远智
阿拉善盟同和石膏制品有限责任公司额济纳旗分公司,http://www.zk71.com/qiye/760922.html,谢杰同,-,2011/1/13,地址：-,阿拉善盟同和石膏制品有限责任公司额济纳旗分公司创建于2011年1月13日，法人代表为谢杰同，经营范围包括：许可经营项目：无 一般经营项目：石膏粉的销售、石膏制品的销售
哈巴河县众成砂石料有限公司,http://www.zk71.com/qiye/6785847.html,卢爱利,500万(元),2017/10/19,地址：新疆阿勒泰地区哈巴河县工业园区14号5幢,哈巴河县众成砂石料有限公司成立于2017年10月19日，注册地位于新疆阿勒泰地区哈巴河县工业园区14号5幢，法定代表人为卢爱利，经营范围包括：建筑用砂露天开采、销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）
永德煜坤石料有限公司,http://www.zk71.com/qiye/8933963.html,刘赵鲁刚,200万(元),2018/11/27,地址：云南省临沧市永德县崇岗乡蒿子坝村陈家寨组莱坝河,永德煜坤石料有限公司注册于云南省临沧市永德县崇岗乡蒿子坝村陈家寨组莱坝河，成立时间2018年11月27日，法人代表刘赵鲁刚，主要经营包括：采矿业；工程机械设备租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
鸡西市恒山区宏达石墨采矿场,http://www.zk71.com/qiye/11250778.html,-,10万(元),1998/3/26,地址：-,鸡西市恒山区宏达石墨采矿场成立于1998年3月26日 至今要已有23年，经营范围为：石墨开采
重庆市荣昌县富兴福利供销有限公司,http://www.zk71.com/qiye/1514819.html,何寿荣,30万(元),1997/4/23,地址：-,重庆市荣昌县富兴福利供销有限公司创建于1997年4月23日，法人代表为何寿荣，经营范围包括：（无）煤炭洗选，酒制造，农业机械，家用电器修理★★★★★
辽宁金田生态农场有限公司,http://www.zk71.com/qiye/7773267.html,张轩铭,2 000万(元),2019/1/24,地址：辽宁省抚顺市东洲区靖江街25-3号楼1单元603室,辽宁金田生态农场有限公司成立于2019年1月24日，注册地位于辽宁省抚顺市东洲区靖江街25-3号楼1单元603室，法定代表人为张轩铭，经营范围包括：果树、中草药、农作物、水果、蔬菜、坚果、苗木、花卉、食用菌种植及采摘服务、家禽、家畜、养殖、餐饮服务、旅游景点开发建设、种植、养殖技术指导、农用机械设备、化肥、农用物资销售、种子培育（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
斯伦贝谢科技服务(成都)有限公司延安分公司,http://www.zk71.com/qiye/11047595.html,周玮,-,2015/5/5,地址：陕西省延安市宝塔区蟠龙镇蟠龙村,斯伦贝谢科技服务(成都)有限公司延安分公司成立于2015年5月5日，注册地位于陕西省延安市宝塔区蟠龙镇蟠龙村，法定代表人为周玮，经营范围包括：提高原油采收率相关新技术的开发应用；物探、钻井、测井、录井、泥浆、完井、连续油管、射孔、油气井测试、固井、压裂、井下作业石油勘探开发新技术的开发与应用；油气田工程技术服务；油气田专用设备及仪器、计算机、软件及辅助设备、石油开采辅助化学产品的批发及进出口；软件开发、系统集成、软件信息咨询服务；租赁业务。（依法须批准的项目、经有关部门批准后方可开展经营活动；未取得相关行政许可（审批），不得开展经营活动）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
都兰祥茂砂石有限公司,http://www.zk71.com/qiye/5105257.html,李光发,900万(元),2019/6/27,地址：青海省海西蒙古族藏族自治州都兰县察汉乌苏镇新华街锦都广场9号楼9-6号,都兰祥茂砂石有限公司成立于2019年6月27日 至今要已有2年，位于青海省海西蒙古族藏族自治州都兰县察汉乌苏镇新华街锦都广场9号楼9-6号，法定代表人为李光发，经营范围为：许可项目：河道采砂；道路货物运输（不含危险货物）(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。一般项目：水泥制品制造；水泥制品销售；砖瓦制造；砖瓦销售；建筑砌块制造；建筑砌块销售；轻质建筑材料销售；建筑材料销售；建筑工程机械与设备租赁；劳务服务（不含劳务派遣）(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。
瓜州县安鑫矿业有限责任公司,http://www.zk71.com/qiye/13257661.html,康四清,200万(元),2005/5/20,地址：甘肃省酒泉市瓜州县柳园镇,瓜州县安鑫矿业有限责任公司成立于2005年5月20日 至今要已有16年，位于甘肃省酒泉市瓜州县柳园镇，法定代表人为康四清，经营范围为：矿产品、铁精粉、铁球团加工、销售
贵南县旺财砂石矿业有限公司,http://www.zk71.com/qiye/5042840.html,仁青,300万(元),2019/5/8,地址：青海省海南藏族自治州贵南县茫曲镇园丁小区2号楼3单元352,贵南县旺财砂石矿业有限公司注册于青海省海南藏族自治州贵南县茫曲镇园丁小区2号楼3单元352，成立时间2019年5月8日，法人代表仁青，主要经营包括：建筑装饰用砂石开采、加工、运输、销售，建材销售，工程机械租赁，劳务派遣服务，工程造价咨询，工程监理咨询服务，地质勘测，工程设计。（涉及许可经营项目，应取得相关部门许可后方可经营）
池州市贵池区紫岩石灰石矿,http://www.zk71.com/qiye/5475989.html,李世美,10万(元),2007/3/22,地址：-,池州市贵池区紫岩石灰石矿成立于2007年3月22日，法定代表人为李世美，经营范围包括：熔剂用石灰岩销售。
本溪市溪湖彩北采石总厂,http://www.zk71.com/qiye/7848847.html,孙吉凯,50万(元),1985/3/13,地址：-,本溪市溪湖彩北采石总厂成立于1985年3月13日，法定代表人为孙吉凯，经营范围包括：砂石(经营期限至2006年12月31日）。以下空白以下空白
鄂托克旗中凯矿业开发有限责任公司海拉尔分公司,http://www.zk71.com/qiye/409999.html,贾敬忠,-,2004/9/6,地址：呼伦贝尔市海拉尔区东郊12号,鄂托克旗中凯矿业开发有限责任公司海拉尔分公司成立于2004年9月6日，注册地位于呼伦贝尔市海拉尔区东郊12号，法定代表人为贾敬忠，经营范围包括：许可经营项目：无 一般经营项目：石灰岩开采、加工与销售（凭许可证经营）
云阳县金茂煤业有限公司富强煤厂,http://www.zk71.com/qiye/885368.html,刘书建,-,2012/4/20,地址：-,云阳县金茂煤业有限公司富强煤厂，成立时间2012年4月20日，法人代表刘书建，主要经营包括：煤炭开采（按许可证核定事项和期限从事经营） 销售本企业生产的煤炭（国家法律、法规禁止经营的不得经营；国家法律、法规限制需审批的未获审批前不得经营）
铜川市立泽化工有限公司,http://www.zk71.com/qiye/11180094.html,韩丽萍,500万(元),2014/3/31,地址：陕西省铜川市印台区陈炉镇关咀村,铜川市立泽化工有限公司成立于2014年3月31日 至今要已有7年，位于陕西省铜川市印台区陈炉镇关咀村，法定代表人为韩丽萍，经营范围为：氧化钙、纳米碳酸钙的生产和销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
内蒙古万忻工贸有限公司,http://www.zk71.com/qiye/269391.html,赵星燎,200万(元),2019/3/18,地址：内蒙古自治区乌海市海南区公乌素大街南黄河路东振兴小区1号楼5单元201室,内蒙古万忻工贸有限公司注册于内蒙古自治区乌海市海南区公乌素大街南黄河路东振兴小区1号楼5单元201室，成立时间2019年3月18日，法人代表赵星燎，主要经营包括：销售：硅铁、金属镁、钢材、铸造件、白云石、硅石、石灰石、焦粒、熔剂、萤石粉、无水氯化镁、化工产品（不含危险品）、冶金炉料、五金劳保、环保配件及各种耗材、机电设备、碳化硅、木片、木炭、铁矿粉、废钢。
随州市金泰矿业有限公司弘泰分公司,http://www.zk71.com/qiye/7374841.html,王守明,-,2007/12/24,地址：-,随州市金泰矿业有限公司弘泰分公司，成立时间2007年12月24日，法人代表王守明，主要经营包括：铁矿井下开采（限4200000521566号采矿许可证和122949号及124088号安全生产许可证一、二号矿区范围内）、加工、销售（持有效许可证件经营）##
